mediaName,relName,relationType
海洋奇缘,艾伦·图代克,主演
海洋奇缘,罗恩·克莱蒙兹,导演
海洋奇缘,罗恩·克莱蒙兹,编剧
海洋奇缘,约翰·马斯克,导演
海洋奇缘,约翰·马斯克,编剧
海洋奇缘,约翰·拉塞特,制作人
海洋奇缘,osnat shurer,制作人
海洋奇缘,塔伊加·维迪提,编剧
海洋奇缘,pamela ribon,编剧
海洋奇缘,奥丽依·卡拉瓦霍,主演
海洋奇缘,phillipa soo,主演
海洋奇缘,杰拉德·布什,编剧
江南灵异录之白云桥,北京星宇华夏国际影视文化传媒有限公司,制作
江南灵异录之白云桥,北京灿映影视文化传播有限公司,制作
江南灵异录之白云桥,北京灿映影视文化传播有限公司,发行
江南灵异录之白云桥,浙江恒宏文化发展有限公司,制作
江南灵异录之白云桥,北京中视泽一国际文化艺术中心,制作
江南灵异录之白云桥,鼎盛佳和北京文化传播有限公司,制作
江南灵异录之白云桥,中国电影集团公司,发行
江南灵异录之白云桥,钟萱,主演
江南灵异录之白云桥,钟萱,导演
江南灵异录之白云桥,钟萱,编剧
江南灵异录之白云桥,温兆伦,主演
江南灵异录之白云桥,张冀,编剧
降临,派拉蒙影业公司,发行
降临,索尼发行公司,发行
降临,Universal Pictures International (UPI) ,发行
降临,电影国度娱乐公司,制作
降临,电影国度娱乐公司,发行
降临,Sony Pictures Releasing ,发行
降临,Mel's Cite du Cinema ,制作
降临,21 Laps Entertainment ,制作
降临,Lava Bear Films ,制作
降临,Sony Pictures Releasing International ,发行
降临,杰瑞米·雷纳,主演
降临,艾米·亚当斯,主演
降临,福里斯特·惠特克,主演
降临,迈克尔·斯图巴,主演
降临,丹尼斯·维伦纽瓦,导演
降临,Paul Babeau ,制作人
降临,Glen Basner ,制作人
降临,Dan Cohen ,制作人
降临,埃里克·海瑟尔,制作人
降临,埃里克·海瑟尔,编剧
降临,Martin Henri ,制作人
降临,Daniel S. Levine ,制作人
降临,肖恩·利维,制作人
降临,大卫·林迪,制作人
降临,Karen Lunder ,制作人
降临,Tory Metzger ,制作人
降临,Milan Popelka ,制作人
降临,亚伦·瑞德,制作人
降临,Stan Wlodkowski ,制作人
降临,Michael Jackman ,制作人
降临,姜峯楠,编剧
姐十八来郎十八,贾雷鸣,导演
姐十八来郎十八,宝鸡电视台,制作
姐十八来郎十八,王义钦,主演
姐十八来郎十八,张宇菲,主演
姐十八来郎十八,陈致,导演
恐怖理发店,姜星丘,主演
恐怖理发店,殷果儿,主演
恐怖理发店,任青安,主演
恐怖理发店,陈嘉敏,主演
恐怖理发店,陆诗雷,导演
魔发精灵,二十世纪福斯电影公司,发行
魔发精灵,二十世纪福斯公司,发行
魔发精灵,20世纪福克斯阿根廷分公司,发行
魔发精灵,SF Film Finland ,发行
魔发精灵,二十世纪福斯德国分公司,发行
魔发精灵,梦工场动画,制作
魔发精灵,安娜·肯德里克,主演
魔发精灵,贾斯汀·汀布莱克,主演
魔发精灵,迈克·米歇尔,导演
魔发精灵,沃尔特·道恩,导演
魔发精灵,吉娜·夏,制作人
魔发精灵,Holly Edwards ,制作人
魔发精灵,dannie festa,制作人
魔发精灵,乔纳森·阿贝尔,制作人
魔发精灵,乔纳森·阿贝尔,编剧
魔发精灵,格伦·伯杰,制作人
魔发精灵,格伦·伯杰,编剧
魔发精灵,格温·斯蒂芬妮,主演
魔发精灵,詹姆斯·柯登,主演
魔发精灵,拉塞尔·布兰德,主演
魔发精灵,霍利·爱德华,制作人
奇异博士,Walt Disney Studios Motion Pictures ,发行
奇异博士,美国漫威影业公司,制作
奇异博士,Forum Hungary ,发行
奇异博士,华特·迪士尼电影工作室,发行
奇异博士,华特·迪士尼电影公司,发行
奇异博士,Walt Disney Studios Japan ,发行
奇异博士,华特·迪士尼与索尼联合发行公司,发行
奇异博士,本尼迪克特·康伯巴奇,主演
奇异博士,蒂尔达·斯文顿,主演
奇异博士,切瓦特·埃加福特,主演
奇异博士,瑞秋·麦克亚当斯,主演
奇异博士,麦斯·米科尔森,主演
奇异博士,迈克尔·斯图巴,主演
奇异博士,本尼迪特·王,主演
奇异博士,斯科特·德瑞克森,导演
奇异博士,斯科特·德瑞克森,编剧
奇异博士,凯文·费奇,制作人
奇异博士,斯坦·李,制作人
奇异博士,维多利亚·阿隆索,制作人
奇异博士,斯蒂芬·布鲁萨德,制作人
奇异博士,路易斯·斯波西托,制作人
奇异博士,Alan Fine ,制作人
奇异博士,查尔斯·尼沃斯,制作人
奇异博士,史蒂夫·迪特寇,编剧
奇异博士,乔·斯派茨,编剧
奇异博士,C. Robert Cargill ,编剧
奇异博士,thomas dean donnelly,编剧
奇异博士,joshua oppenheimer,编剧
奇异博士,阿兰·芬恩,制作人
奇异博士,c·罗伯特·凯尔吉尔,编剧
神奇动物在哪里,Warner Bros. ,发行
神奇动物在哪里,盛日影业公司,制作
神奇动物在哪里,华纳兄弟影片公司,制作
神奇动物在哪里,华纳兄弟影片公司,发行
神奇动物在哪里,SF Film Finland ,发行
神奇动物在哪里,华纳兄弟公司,发行
神奇动物在哪里,埃迪·雷德梅恩,主演
神奇动物在哪里,凯瑟琳·沃特森,主演
神奇动物在哪里,埃兹拉·米勒,主演
神奇动物在哪里,艾莉森·苏朵儿,主演
神奇动物在哪里,丹·福格勒,主演
神奇动物在哪里,柯林·法瑞尔,主演
神奇动物在哪里,萨曼莎·莫顿,主演
神奇动物在哪里,詹·穆瑞,主演
神奇动物在哪里,faith wood-blagrove,主演
神奇动物在哪里,朗·普尔曼,主演
神奇动物在哪里,大卫·叶茨,导演
神奇动物在哪里,大卫·海曼,制作人
神奇动物在哪里,neil blair,制作人
神奇动物在哪里,斯蒂芬·科洛弗,制作人
神奇动物在哪里,tim lewis,制作人
