relName,mediaName
克里斯托弗·诺兰,蝙蝠侠：黑暗骑士崛起
克里斯托弗·诺兰,星际穿越
克里斯蒂安·库尔特·魏斯,热情奏鸣曲
克雷·卡提斯,愤怒的小鸟
克雷·卡提斯,愤怒的小鸟大电影
八木龙一,哆啦A梦：伴我同行
八锹新之介,哆啦A梦：新·大雄的日本诞生
关信辉,可爱的你
关尔,校花诡异事件
关尔,笔仙惊魂
关尔,像小强一样活着
关尔,笔仙惊魂3
关尔,爱爱囧事
关尔,笔仙魔咒
冀佳彤,恋爱中的城市
冬至,那是说着玩的
冯媛,北回归线
冯小刚,甲方乙方
冯小刚,一九四二
冯小刚,我不是潘金莲
冯小刚,私人订制
冯小刚,不见不散
冯小宁,一八九四·甲午大海战
冯小宁,落经山
冯德伦,太极1从零开始
冯德伦,太极2英雄崛起
冯志强,悬赏
冯志强,超级经纪人
冯新民,顾景舟
冯海涛,大山里的搏击手
冯自立,牛胆神偷
凯尔·巴尔达,小黄人大眼萌
凯文·麦克唐纳,黑海夺金
凯文·麦克唐纳,迷踪：第九鹰团
刁亦男,白日焰火
刘一君,青春雷锋
刘一君,说说美丽世界
刘一炜,龙骧虎跃
刘伟强,不再让你孤单
刘伟强,血滴子
刘伟强,澳门风云3
刘伟恒,寻找心中的你
刘兆东,无脚鸟
刘全玮,丝路英雄·云镝
刘全玮,大变局之梦回甲午
刘勇宏,有一天
刘可,宝贝，对不起
刘可欣,龙骑侠
刘可欣,摩尔庄园2之海妖宝藏
刘可欣,超能龙骑侠
刘可欣,摩尔庄园冰世纪
刘名峰,5月天诺亚方舟
刘国昌,早见，晚爱
刘坤,我和神马查干
刘天荣,雨夜惊魂
刘天荣,午夜寻访录
刘奋斗,假装情侣
刘奋斗,隔窗有眼
刘娟,初恋未满
刘子威,练胆儿
刘存明,光的棍
刘宁,向阳花开
刘宁,夜半梳头
刘宇军,藏羚王之雪域精灵
刘宝贤,谁说我们不会爱
刘宝贤,灵臆事件
刘富源,熊出没之夺宝熊兵
刘富源,熊出没之雪岭熊风
刘小宁,刻在石磨上的勋章
刘小春,与贼同屋
刘小春,有一种爱叫做放手
刘峰,笔仙诡影
刘崇崇,诡娃娃
刘左峰,今天明天
刘左峰,今天·明天
刘彬杰,穷途
刘怡明,追爱
刘抒鹃,因为谷桂花
刘抒鹃,守护童年
刘新,女神跟我走
刘晨,还魂之迷失曼谷
刘杰,青春派
刘殿军,奇迹宝宝
刘江,咱们结婚吧
刘沛,小蚂蚁之环球大冒险
刘治寰,胜利大阅兵
刘浩,巴啦啦小魔仙之魔法的考验
刘浩良,冲锋车
刘海波,菊花台
刘潇珂,抱养奇缘
刘潘,猿创世界之熊孩子部落
刘炜,三只小猪与神灯
刘畅,西游新传2：真心话大冒险
刘磊,黄河
刘紫薇,我心雀跃
刘芳,白雪公主之矮人力量
刘荣艳,爱情进化论
刘观伟,商魂
刘观伟,人皮拼图
刘观伟,我是中国人
刘誉,做次有钱人
刘辉,古镇凶灵之巫咒缠身
刘邦邦,功夫四侠
刘镇伟,大话天仙
刘镇伟,大话西游3
刘镇伟,大话西游之大圣娶亲
刘镇伟,东成西就2011
刘镇伟,大话西游之月光宝盒
刘镇伟,完美假妻168
刘镇纬,蹴鞠
刘韵文,过界男女
刘飚,风过菜花黄
刘香萍,一棵心中的许愿树
刘鸿,七月半之恐怖宿舍
加贝·伊班内兹,机器纪元
加里·弗莱德,家园防线
加里·罗斯,饥饿游戏
加里·麦肯德莱,铁血精英
加里斯·爱德华斯,哥斯拉
北村丰晴,阿嬷的梦中情人
十庆,王朝的女人·杨贵妃
千丙哲,蜜月酒店杀人事件
午马,化妆师
华原,车在囧途
卓建荣,汽车人总动员
卓立,下一个奇迹
卓韵芝,临时同居
卓韵芝,霹雳囧花
卜万苍,满园春色
占俊科,雏鸟的天空
卡洛斯·沙尔丹哈,里约大冒险
卡洛斯·沙尔丹哈,冰川时代：融冰之灾
卡洛斯·沙尔丹哈,里约大冒险2
卡米勒·德拉马雷,玩命速递：重启之战
卢卫国,给你一千万
卢卫国,就是闹着玩的
卢国成,大兵金宝历险记
卢恒宇,十万个冷笑话
卫捷,假装看不见之电影大师
卫捷,啊朋友还钱
卫捷,201413
卫晓茼,党的女儿尹灵芝
印希庸,西柏坡
原野,璀璨的婚礼
古志斌,猪猪侠之囧囧危机
古志斌,猪猪侠之勇闯巨人岛
叫兽易小星,万万没想到
叫兽易小星,有一天
史凤和,毛泽东与齐白石
史奕,西柏坡2：王二小
史学刚,黑猫警长之翡翠之星
史蒂夫·马蒂诺,冰川时代4：大陆漂移
史蒂夫·马蒂诺,史努比：花生大电影
史蒂文·奎里,不惧风暴
史蒂文·斯皮尔伯格,吹梦巨人
史蒂文·斯皮尔伯格,丁丁历险记
史蒂文·斯皮尔伯格,侏罗纪公园3D
史蒂文·斯皮尔伯格,战马
史蒂文·斯皮尔伯格,圆梦巨人
叶伟信,叶问3
叶伟信,开心魔法
叶伟信,冲上云霄
叶伟信,倩女幽魂
叶伟民,一路顺疯
叶伟民,怪谈
叶伟民,魔宫魅影
叶伟民,绣花鞋
叶伟民,亲家过年
叶伟民,京城81号
叶伟英,午夜凶梦
叶伟英,不爱不散
叶凯,巴啦啦小魔仙
叶凯,我爱灰太狼2
叶天伦,鸡排英雄
叶天龙,熊出没之熊心归来
叶念琛,婚前试爱
叶念琛,分手再说我爱你
叶念琛,百变爱人
叶念琛,天生爱情狂
叶念琛,求爱大作战
叶念琛,隐婚男女
叶念琛,十月初五的月光
叶田,爸爸我来救你了
吉姆·谢里丹,梦宅诡影
吉尔·考夫曼,敏感事件
吉尔莫·德尔·托罗,环太平洋
吉桥,诡影迷情
吉米·海沃德,火鸡总动员
向飞,大片
吕克·贝松,别惹我
吕寅荣,功夫熊猫3
吕小龙,黎明之眼
吕建民,B区32号
吕祖松,钢琴木马
吴中天,天亮之前
吴京,战狼
吴佳,我是大熊猫之熊猫大侠
吴兵,秘术
吴军,莫斯科离大同不远
吴军,边区造
吴卫东,双人床条约
吴卫东,爱情斑马线
吴卫东,情战
吴国勇,虐面人之死灵面膜
吴基桓,分手合约
吴天明,百鸟朝凤
吴娜,行歌坐月
吴娜,最美的时候遇见你
吴子云,六弄咖啡馆
吴宇森,太平轮（上）
吴宇森,太平轮：彼岸
吴安和,海鲜陆战队
吴宗强,妖医
吴宗强,泰国妖医
吴建中,聪明的一休之反斗公主
吴志国,笨贼快跑
吴林,夺路而逃
吴林,爱别离
吴治邦,高铁英雄
