主旋律,9
亲情,18
传记,29
侦探,1
儿童,35
公路,7
冒险,176
农村,6
剧情,249
功夫,2
动作,297
动物,1
动画,181
励志,28
历史,22
友情,3
反腐,2
古装,32
同性,1
喜剧,380
奇幻,21
家庭,41
幻想,1
心理,3
怀旧,4
恐怖,60
悬疑,154
惊悚,200
惊秫,7
戏曲,10
战争,53
抢险,1
文艺,4
枪战,1
校园,1
歌舞,12
武侠,16
浪漫,3
灵异,3
灾难,15
爱情,459
犯罪,82
现实,1
真人秀,2
科幻,69
科教片,1
纪实,35
纪录片,25
职场,1
西部,3
警匪,12
记录,6
贺岁,4
运动,9
都市,8
青春,54
革命,2
音乐,12
魔幻,15
黑帮,1
黑色,1
黑色幽默,1
