directorrate,castrate1,castrate2,theme1,theme2,theme3,year,month,day,boxtotal,product1,product2,product3,totalBox14,isHoliday
75675,4,189245,21,40,42,2015,11,3,10223,1,3,100,9837,0
0,14,487921,37,42,44,2015,11,4,19690,1,4,100,19028,0
359805,58,470951,14,45,46,2015,11,6,6149,1,17,18,6111,0
880,17,110984,36,42,0,2015,11,6,246,0,0,0,237,0
72484,1,29073,33,40,41,2015,11,6,3668,4,0,0,2959,0
671417,19,387119,45,46,0,2015,11,11,1230,1,11,29,1220,0
549262,33,706324,46,0,0,2015,11,13,6264,1,9,55,6208,0
1711567,25,271624,35,45,46,2015,11,13,1309,10,0,0,1291,0
1170256,19,887288,39,40,42,2015,11,13,54205,1,3,14,51475,0
0,6,321354,38,42,44,2015,11,20,12845,108,0,0,12458,0
385434,46,544608,40,45,0,2015,11,20,1907,39,0,0,1865,0
312952,22,244954,36,42,0,2015,11,20,399,18,0,0,381,0
699499,15,768377,37,40,42,2015,11,20,14349,1,32,0,14093,0
1242270,21,586880,37,40,44,2015,11,25,58667,1,4,0,49059,0
714989,63,847654,39,44,0,2015,11,27,7708,8,0,0,7150,0
906,13,41058,4,36,42,2015,11,27,340,50,0,0,304,0
22538,22,297424,33,40,41,2015,12,1,5674,1,13,31,4798,0
3917,10,459568,38,40,44,2015,12,4,24840,24,102,104,22756,0
530564,49,763967,37,45,0,2015,12,4,11178,1,3,27,10778,0
20984,32,630453,37,45,46,2015,12,4,5653,8,29,57,5566,0
2116985,52,854952,23,44,0,2015,12,10,5478,1,17,34,5346,0
0,43,557246,45,0,0,2015,12,11,551,2,0,0,547,0
48,54,252299,46,0,0,2015,12,11,0,46,0,0,2462,0
0,2,166744,40,41,45,2015,12,12,1016,0,0,0,725,0
0,25,319370,41,45,0,2015,12,12,533,0,0,0,444,0
11303,33,195330,45,46,0,2015,12,15,201,52,138,0,99,0
0,8,235341,36,42,0,2015,12,18,286,26,0,0,159,0
379269,37,296109,46,0,0,2015,12,24,1276,27,33,0,1142,1
10813,8,64826,39,42,0,2015,12,28,0,0,0,0,231,0
0,19,155195,36,39,42,2015,12,31,247,74,0,0,231,1
0,29,175877,40,43,0,2015,12,31,26,1,0,0,23,1
912,22,489910,36,42,46,2015,12,31,0,74,0,0,392,0
9126,57,487328,46,0,0,2015,12,31,22,0,0,0,21,0
958,35,1504033,38,39,43,2016,1,4,16134,1,0,0,15235,0
790,1,19901,36,42,0,2016,1,8,395,26,0,0,370,0
378222,61,371122,39,45,0,2016,1,15,12548,27,96,0,12245,0
2286,42,410371,43,46,0,2016,1,15,1021,1,0,0,909,0
801855,12,568834,29,40,43,2016,1,22,9079,1,3,7,8585,0
0,0,0,41,0,0,2016,1,23,85,0,0,0,82,0
564527,21,350947,46,0,0,2016,3,8,1734,17,62,0,1726,0
19987,15,183301,37,39,40,2016,1,29,3504,0,0,0,3471,1
5264,18,232725,46,0,0,2016,1,29,805,49,0,0,797,1
741,24,619132,44,45,46,2016,1,29,74,62,0,0,71,1
149598,47,541570,45,0,0,2016,2,1,5403,17,49,0,5260,1
1589138,86,646157,40,44,45,2016,2,8,111783,1,25,33,97949,1
67743,61,185186,40,41,44,2016,2,18,10322,7,93,0,9842,0
174370,17,96626,40,41,45,2016,2,19,434,0,0,0,421,0
0,19,430348,45,46,0,2016,2,19,277,17,0,0,274,0
0,9,371440,41,0,0,2016,2,20,1796,1,54,0,1683,0
156765,81,587157,39,42,46,2016,5,27,761,5,7,128,740,0
20752,13,155609,36,42,0,2016,2,25,525,74,0,0,499,0
5527,17,228032,35,43,0,2016,2,25,30,7,0,0,29,0
0,24,357493,44,45,0,2016,2,26,8,7,0,0,8,0
46602,75,315814,41,0,0,2016,2,26,3787,7,0,0,3760,0
355,3,20458,36,39,42,2016,5,13,41,85,0,0,38,0
342122,6,102265,46,0,0,2016,3,25,232,139,0,0,229,1
326954,8,891717,40,41,0,2016,3,4,153030,1,6,7,84962,0
110409,18,236394,38,42,44,2016,3,4,2956,1,24,60,2876,0
14478,32,402409,29,43,0,2016,3,4,2347,2,7,44,2299,0
8230,51,753491,43,46,0,2016,3,10,502,1,25,0,490,0
343613,22,433469,45,46,0,2016,3,11,121,30,0,0,119,0
0,7,287587,30,44,45,2016,3,11,16,77,0,0,15,0
5745,30,332477,43,46,0,2016,3,11,20,33,138,0,20,0
70766,3,16978,36,42,46,2016,3,25,607,50,0,0,580,1
68614,30,198729,9,43,45,2016,3,25,1391,7,0,0,1365,1
472297,35,703617,25,40,44,2016,3,25,61912,1,2,7,58626,1
1901,13,272031,43,0,0,2016,4,1,151,7,117,0,139,0
2587,0,0,42,0,0,2016,4,8,104,0,0,0,102,0
880,57,398739,36,0,0,2016,4,8,104,139,0,0,101,0
65214,13,643144,38,42,44,2016,4,8,2066,1,60,104,31512,0
22816,14,483134,40,43,44,2016,4,22,10631,1,3,7,10519,1
0,73,1283618,46,0,0,2016,4,22,223,0,0,0,213,0
0,49,270892,39,43,0,2016,4,22,19,28,0,0,18,0
2349598,109,734255,45,46,0,2016,4,29,78669,17,36,47,67455,1
8821,3,20004,36,42,0,2016,5,13,733,26,0,0,687,0
851824,14,321992,43,0,0,2016,5,6,8690,49,132,0,4325,0
159908,40,1131598,41,0,0,2016,6,1,392,113,0,0,383,1
1669238,2,82903,42,0,0,2016,6,3,551,113,0,0,490,1
5272,6,84888,36,42,0,2016,6,17,1082,26,0,0,1038,0
230551,88,724219,19,39,44,2016,7,8,67811,7,36,47,62068,0
0,7,16220,0,0,0,2016,7,22,730,1,135,0,724,0
6929,23,1212920,25,40,0,2016,5,27,38703,1,6,7,33930,0
0,1,9370,43,0,0,2016,4,19,5,126,0,0,5,0
490062,26,816009,37,40,44,2016,5,6,124617,1,6,7,107018,0
0,1,1614,36,39,42,2016,5,20,368,113,0,0,352,0
574,0,0,40,41,45,2016,4,30,618,28,68,0,504,1
16639,17,95390,42,0,0,2016,8,5,363,16,0,0,351,0
1441,21,279802,45,46,0,2016,4,8,147,138,0,0,138,0
72285,3,347436,41,44,45,2016,5,20,51382,1,3,6,42609,0
0,5,21342,36,39,42,2016,4,22,133,0,0,0,125,1
0,52,21037,40,41,0,2016,4,30,1008,50,0,0,842,1
77915,26,556596,39,43,0,2016,5,6,117,130,0,0,111,0
490921,30,1084622,40,41,0,2016,5,27,110,7,0,0,103,1
1366404,13,767848,37,40,44,2016,6,3,80267,1,2,4,68762,1
343613,35,850129,35,46,0,2016,6,10,291,30,0,0,279,1
27814,4,134261,25,40,41,2016,7,29,6543,2,16,17,6281,0
2086,12,300314,40,41,45,2016,6,9,718,0,0,0,706,1
4,70,216638,43,0,0,2016,6,3,17,7,0,0,14,1
191465,31,912379,41,45,0,2016,6,17,1200,9,39,0,1206,0
1915087,6,406898,37,40,44,2016,6,24,50313,1,2,4,47519,0
598116,20,689555,37,40,44,2016,9,2,35635,1,3,7,38159,0
878210,28,695670,39,42,44,2016,8,23,44285,3,7,31,42385,0
0,20,100638,43,0,0,2016,5,27,26,0,0,0,21,0
1502,1,1047,36,42,46,2016,7,22,74,7,0,0,72,0
0,0,0,25,41,0,2016,6,1,619,21,0,0,615,1
166566,3,17738,45,0,0,2016,6,17,23,0,0,0,23,0
0,2,5193,35,43,0,2016,6,17,11,0,0,0,8,0
10358,55,1914869,41,0,0,2016,7,2,432,50,0,0,420,0
428412,34,631111,25,39,0,2016,8,5,100021,8,16,17,88725,0
1380343,9,366280,40,44,0,2016,7,19,30604,2,7,44,27778,0
170352,37,1095378,0,0,0,2016,9,2,771,24,44,104,775,0
852,17,181979,36,42,0,2016,7,22,414,7,27,57,411,0
242561,12,93039,34,0,0,2016,6,23,168,1,0,0,92,0
0,22,45021,43,0,0,2016,6,17,19,1,0,0,15,0
523568,10,629581,41,45,0,2016,8,2,38878,1,3,4,32509,0
2190398,13,512730,40,41,45,2016,6,17,25329,1,6,0,21301,0
0,3,20489,0,0,0,2016,8,12,1233,3,20,0,1225,0
0,15,603055,43,0,0,2016,6,19,30,3,82,0,23,0
0,27,174595,16,43,0,2016,7,1,107,1,20,0,60,0
176809,9,457784,36,42,43,2016,6,24,5373,1,3,6,9308,1
3619,13,54953,9,16,43,2016,6,27,1023,1,0,0,617,0
4826,30,247656,40,41,0,2016,7,22,10358,1,7,20,10188,0
1078,2,1543,45,0,0,2016,8,12,3,0,0,0,3,0
959976,44,576870,0,0,0,2016,9,14,0,1,10,17,34544,1
363,22,294486,40,41,0,2016,8,26,173,26,0,0,171,0
261563,46,338797,36,37,0,2016,9,2,4546,7,15,36,4723,0
0,12,795881,41,45,0,2016,8,19,30,0,0,0,29,0
0,0,0,0,0,0,2016,9,15,0,12,51,78,671,1
326,22,35481,34,39,44,2016,8,3,44,0,0,0,38,0
222922,27,657209,24,43,0,2016,8,26,9,0,0,0,9,0
0,3,118501,0,0,0,2016,8,19,3067,0,0,0,3049,0
18367,21,482800,0,0,0,2016,9,16,0,0,0,0,83,0
35536,51,237846,43,0,0,2016,7,22,1048,1,0,0,515,0
0,51,302936,0,0,0,2016,9,14,0,40,81,130,19348,1
151,24,111660,43,46,0,2016,8,26,113,12,0,0,92,0
666,5,4491,36,42,0,2016,8,26,220,26,0,0,222,0
176777,15,76783,39,45,0,2016,8,26,2,7,0,0,2,1
94078,1,94077,0,0,0,2016,8,19,6008,0,0,0,5965,0
151835,35,153692,36,42,0,2016,9,9,184,26,0,0,324,1
1561,14,433570,37,45,0,2016,9,9,699,7,27,45,812,1
851,21,180208,43,45,0,2016,8,19,31,5,0,0,19,0
390,23,196318,45,46,0,2016,9,8,2,0,0,0,3,1
0,24,80832,43,0,0,2015,7,15,0,0,0,0,3,1
0,13,172393,46,0,0,2016,9,9,46,130,0,0,43,1
